data_set_id,w2vec_algorithm,pretrained,mapping,dim,window_size,t,f1,accuracy,recall,precision,language
lat_1.0.0,sgns,lat_conll17,incremental,100,10,1.0,0.545,0.5,0.462,0.667,lat
en_1.0.0,sgns,None,incremental,100,10,1.0,0.577,0.40540540540540543,0.938,0.417,en
de_1.0.0,cbow,dewiki,alignment,100,10,1.5,0.5,0.6666666666666666,0.471,0.533,de
de_1.0.0,sgns,None,incremental,100,10,2.0,0.5,0.3333333333333333,0.941,0.34,de
de_1.0.0,cbow,None,incremental,100,10,1.0,0.523,0.3541666666666667,1.0,0.354,de
de_1.0.0,sgns,None,alignment,100,10,1.5,0.35,0.4583333333333333,0.412,0.304,de
swe_1.0.0,sgns,None,incremental,100,10,1.5,0.421,0.2903225806451613,1.0,0.267,swe
de_1.0.0,sgns,dewiki,incremental,100,10,1.0,0.6,0.5833333333333334,0.882,0.455,de
de_1.0.0,cbow,dewiki,incremental,100,10,1.0,0.582,0.5208333333333334,0.941,0.421,de
en_1.0.0,cbow,glove,incremental,100,10,2.0,0.537,0.4864864864864865,0.688,0.44,en
de_1.0.0,sgns,None,incremental,100,10,1.0,0.531,0.375,1.0,0.362,de
en_1.0.0,cbow,None,incremental,100,10,1.5,0.604,0.43243243243243246,1.0,0.432,en
lat_1.0.0,cbow,lat_conll17,incremental,100,10,1.0,0.807,0.725,0.885,0.742,lat
de_1.0.0,sgns,dewiki,alignment,100,10,2.0,0.651,0.6875,0.824,0.538,de
de_1.0.0,cbow,None,incremental,100,10,1.5,0.523,0.3541666666666667,1.0,0.354,de
swe_1.0.0,cbow,None,alignment,100,10,1.5,0.417,0.5483870967741935,0.625,0.312,swe
en_1.0.0,sgns,glove,incremental,100,10,2.0,0.605,0.5405405405405406,0.812,0.481,en
lat_1.0.0,sgns,lat_conll17,alignment,100,10,1.0,0.8,0.7,0.923,0.706,lat
en_1.0.0,cbow,None,incremental,100,10,1.0,0.604,0.43243243243243246,1.0,0.432,en
lat_1.0.0,cbow,lat_conll17,alignment,100,10,2.0,0.727,0.625,0.769,0.69,lat
de_1.0.0,cbow,dewiki,alignment,100,10,1.0,0.5,0.6666666666666666,0.471,0.533,de
lat_1.0.0,cbow,None,alignment,100,10,1.5,0.596,0.525,0.538,0.667,lat
de_1.0.0,cbow,None,alignment,100,10,2.0,0.429,0.5,0.529,0.36,de
swe_1.0.0,cbow,None,incremental,100,10,1.0,0.41,0.25806451612903225,1.0,0.258,swe
lat_1.0.0,sgns,None,alignment,100,10,1.5,0.739,0.7,0.654,0.85,lat
de_1.0.0,sgns,None,incremental,100,10,1.5,0.531,0.375,1.0,0.362,de
lat_1.0.0,sgns,None,incremental,100,10,2.0,0.787,0.675,0.923,0.686,lat
lat_1.0.0,cbow,None,incremental,100,10,2.0,0.769,0.625,0.962,0.641,lat
de_1.0.0,cbow,dewiki,alignment,100,10,2.0,0.5,0.6666666666666666,0.471,0.533,de
